Elevation ,Time,height(km),values ms-1,Core diameter (km),Shear
0.5,536,0.35,7,1.25,M
0.9,536,0.58,11,1.64,M
1.3,536,0.8,12,1.85,M
1.8,536,1,11,1.64,M
2.4,536,1.34,10,2.4,M
3.1,536,1.7,10,2.59,M
0.5,541,0.31,16,0.74,M
0.9,541,0.5,15,1.3,M
1.3,541,0.68,16,1.85,M
1.8,541,0.81,16,1.85,M
2.4,541,1.12,15,2.04,M
3.1,541,1.48,14,2.04,M
4,541,1.78,12,2.22,M
0.5,545,0.25,13.7,2.5,M
0.9,545,0.4,18.5,1.85,M
1.3,545,0.54,18.5,1.52,M
1.8,545,0.72,19,1.3,M
2.4,545,0.99,18.5,1.25,M
3.1,545,1.2,18,1.45,M
4,545,1.58,18,1.48,M
5.1,545,2.01,18,1.48,M
6.4,545,2.58,16,1.48,M
8,545,3.1,15,1.64,M
0.5,550,0.26,18,0.95,M
0.9,550,0.41,21,0.93,M
1.3,550,0.56,21,0.85,M
1.8,550,0.78,20,1,M
2.4,550,1.05,20,1,M
3.1,550,1.33,20,0.98,M
4,550,1.75,20,1.26,M
5.1,550,2.1,19,1.35,M
6.4,550,2.62,18,1.36,M
8,550,3.24,18,1.38,M
0.5,555,0.27,23,1.85,M
0.9,555,0.41,22,2.22,M
1.3,555,0.58,24,2.35,M
1.8,555,0.8,26,2.31,M
2.4,555,1.05,28,2.35,M
3.1,555,1.49,24,2.59,M
4,555,1.87,24,2.8,M
5.1,555,2.3,24,3.3,M
6.4,555,2.92,22.5,3.55,M
8,555,3.55,21,3.7,M
0.5,559,0.3,27,2.2,M
0.9,559,0.5,28,2.22,M
1.3,559,0.68,26,2.59,M
1.8,559,0.95,22.5,2.65,M
2.4,559,1.23,22,2.72,M
3.1,559,1.69,22.5,2.65,M
4,559,2.15,22,2.69,M
5.1,559,2.71,21,2.72,M
6.4,559,3.38,19,3.2,M
