Elevation ,Time,height(km),values ms-1,Core diameter (km),Shear
0.5,0933,0.9,9,1.48,1.3
0.9,0933,1.2,10,1.48,2.5
1.3,0933,1.93,10,1.85,3.6
0.5,0937,0.82,7,1.3,4
0.9,0937,1.25,8,1.67,1
1.3,0937,1.66,6,2.08,2
0.5,0941,0.7,7,1.85,1
0.9,0941,1.02,8,1.85,M
1.3,0941,1.48,8,2.04,2.4
1.8,0941,1.95,6,2.22,3
0.5,0946,0.54,9,1.3,M
0.9,0946,0.9,9,1.48,3.4
1.3,0946,1.2,8,1.85,2
1.8,0946,M,M,M,1
0.5,0950,0.48,9,1.48,6
0.9,0950,0.73,10,1.67,5.4
1.3,0950,1.03,9,2.03,3.3
1.8,0950,M,M,M,M
2.4,0950,M,M,M,M
0.5,0954,0.37,15,2.04,M
0.9,0954,0.6,12,2.22,3.3
1.3,0954,0.8,10,2.4,9.4
1.8,0954,1.07,11,2.78,4.7
2.4,0954,1.4,9,2.84,2.4
3.1,0954,1.8,10,2.96,2
0.5,0958,0.32,14,1.48,2
0.9,0958,0.5,14,1.48,3.1
1.3,0958,0.63,11,1.85,5
1.8,0958,0.78,12,2.41,5.3
2.4,0958,1.07,11,2.55,2.4
3.1,0958,1.31,11,3.12,4.1
0.5,1003,0.24,10,1.85,1.3
0.9,1003,0.38,10,2.04,2.6
1.3,1003,0.53,13,1.85,M
1.8,1003,0.66,11,2.04,M
2.4,1003,0.8,8,2.2,M
3.1,1003,0.95,8,2.4,5.4
0.5,1007,0.16,14,1.3,4.4
0.9,1007,0.28,15,1.1,7.5
1.3,1007,0.4,13,1.12,6.2
1.8,1007,0.52,12,1.46,1.4
2.4,1007,0.64,11,1.46,M
3.1,1007,0.75,8,1.67,M
4,1007,0.87,7,1.85,M
0.5,1011,0.14,15,2,M
0.9,1011,0.18,14,2.22,M
1.3,1011,0.21,14,2.4,M
1.8,1011,0.31,15,2.77,M
2.4,1011,0.33,16,2.77,M
3.1,1011,0.39,18,2.77,3.3
4,1011,0.47,21,2.59,1.3
5.1,1011,0.59,19,2.6,1.5
6.4,1011,0.7,19,2.6,2.9
8,1011,0.91,17,2.77,M
0.5,1015,M,M,M,M
0.9,1015,0.12,20,1.85,M
1.3,1015,0.2,20,1.8,M
1.8,1015,0.27,23,2,M
2.4,1015,0.33,21,2.22,4.5
3.1,1015,0.45,21,2.8,5.7
4,1015,0.58,20,2.8,2.3
5.1,1015,0.72,21,2.96,4.1
6.4,1015,0.94,22,2.96,1.1
8,1015,1.17,19,3.14,M
10,1015,1.51,13,3.3,M
0.5,1020,0.12,15,2.22,M
0.9,1020,0.18,16,2.22,M
1.3,1020,0.27,16,2.77,5.5
1.8,1020,0.35,17,2.03,6.3
2.4,1020,0.51,19,2.03,M
3.1,1020,0.7,18,2.03,M
4,1020,0.97,18,2.03,M
5.1,1020,1.24,15,2.4,M
6.4,1020,1.58,12,2.22,M
8,1020,2.1,11,2.4,M
10,1020,2.61,12,2.77,M
0.5,1024,0.13,18,1.85,1.1
0.9,1024,0.29,17,1.5,1.2
1.3,1024,0.41,15,2.03,2
1.8,1024,0.6,15,3.3,1.4
2.4,1024,0.85,15,3.3,2
3.1,1024,1.1,14,3.3,1.9
4,1024,1.41,14,4.07,2
5.1,1024,1.84,13,4.4,2.1
6.4,1024,2.31,10,4.4,3
